"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"JT Brubaker","PIT","5","13","0","24","24","124.1","9.34","2.75","2.03",".284","72.6%","42.8%","22.4%","93.2","5.36","4.60","5.16","4.00","0.3","17578"
"Jose Quintana","LAA","0","3","0","10","10","35.0","13.11","6.69","1.54",".426","55.0%","42.9%","20.0%","91.3","8.23","","4.71","4.00","0.3","11423"
"Jose Urena","DET","2","8","0","18","18","83.0","5.86","4.01","1.30",".316","64.6%","52.7%","15.6%","94.4","5.96","","5.23","4.99","0.3","11589"
"Keegan Akin","BAL","2","10","0","17","17","77.0","7.60","4.44","1.87",".316","65.7%","35.1%","15.0%","92.0","6.90","","5.74","5.49","0.3","19362"
"Braxton Garrett","MIA","1","2","0","7","7","31.0","8.71","5.52","0.87",".387","76.6%","37.8%","11.1%","90.4","4.65","","4.43","4.71","0.2","21844"
"Taylor Hearn","TEX","4","4","0","11","11","51.0","6.53","2.65","1.59",".282","62.5%","38.2%","13.2%","94.8","5.82","","4.95","5.01","0.2","18325"
"Charlie Barnes","MIN","0","3","0","8","8","33.1","4.59","3.78","0.81",".319","63.2%","40.5%","6.4%","89.9","5.94","","4.94","6.26","0.2","19865"
"Jeff Hoffman","CIN","3","5","0","11","11","45.0","7.80","6.00","1.20",".291","68.5%","35.5%","11.5%","93.8","5.20","","5.30","5.61","0.2","17432"
"Spenser Watkins","BAL","2","7","0","10","10","46.0","6.26","3.33","1.76",".331","58.7%","34.8%","14.8%","90.7","7.63","","5.56","5.36","0.2","17489"
"Spencer Howard","- - -","0","5","0","15","15","43.2","8.45","4.53","1.44",".304","51.5%","37.4%","13.2%","94.0","7.21","","5.09","5.15","0.2","23252"
"Griffin Canning","LAA","4","4","0","13","13","60.1","8.95","4.18","1.94",".301","71.8%","34.8%","17.8%","93.6","5.52","","5.42","4.76","0.2","19867"
"Josiah Gray","- - -","2","2","0","13","13","66.2","9.32","4.32","2.16",".251","75.1%","30.9%","16.8%","94.5","5.27","","5.75","5.14","0.2","24580"
"Patrick Corbin","WSN","9","16","0","31","31","171.2","7.50","3.15","1.94",".305","69.4%","47.2%","22.6%","92.4","5.82","5.62","5.41","4.29","0.2","9323"
"Chi Chi Gonzalez","COL","2","6","0","18","18","87.0","4.97","2.38","1.76",".317","64.8%","40.1%","17.0%","92.0","6.62","","5.61","5.09","0.2","14663"
"Drew Smyly","ATL","9","4","0","23","23","115.2","8.48","2.96","2.10",".292","76.5%","39.5%","19.4%","92.1","4.75","","5.36","4.44","0.2","11760"
"Chad Kuhl","PIT","3","6","0","14","14","67.0","7.79","4.70","1.21",".264","69.4%","46.5%","14.3%","94.4","4.43","","5.11","5.02","0.2","14975"
"Dylan Bundy","LAA","2","9","0","19","19","85.2","7.98","3.26","1.89",".276","64.0%","41.1%","18.2%","90.8","6.09","","5.42","4.73","0.1","12917"
"Humberto Castellanos","ARI","2","1","0","7","7","34.0","5.03","2.38","1.59",".306","70.4%","40.9%","13.0%","90.5","5.56","","5.32","5.41","0.1","21183"
"Wade LeBlanc","- - -","0","2","0","9","9","37.1","5.06","3.86","1.21",".299","80.0%","34.6%","9.6%","87.8","4.34","","5.31","6.03","0.1","5221"
"Carlos Carrasco","NYM","1","5","0","12","12","53.2","8.39","3.02","2.01",".299","63.1%","42.3%","19.7%","93.5","6.04","4.63","5.22","4.32","0.1","6632"
"Matt Peacock","ARI","1","5","0","8","8","34.0","6.35","3.18","1.59",".345","74.1%","58.5%","20.7%","93.2","5.29","","5.11","4.32","0.1","20339"
"Bryse Wilson","- - -","3","7","0","16","16","74.0","5.59","2.68","1.82",".294","72.4%","36.7%","16.0%","93.2","5.35","5.62","5.49","5.10","0.1","19990"
"Zach Davies","CHC","6","12","0","32","32","148.0","6.93","4.56","1.52",".305","69.1%","42.5%","16.8%","","5.78","6.40","5.45","5.03","0.1","13183"
"Jon Lester","- - -","7","6","0","28","28","141.1","5.79","3.50","1.59",".296","73.1%","43.7%","15.8%","89.0","4.71","5.13","5.41","5.09","0.0","4930"
"Randy Dobnak","MIN","1","4","0","6","6","34.1","3.67","2.36","1.57",".289","63.4%","59.1%","23.1%","93.8","6.29","","5.50","4.56","0.0","23798"
"Josh Rogers","WSN","2","2","0","6","6","35.2","5.55","3.53","1.77",".236","91.6%","29.7%","12.7%","90.5","3.28","5.81","5.83","6.00","0.0","18510"
"Elieser Hernandez","MIA","1","3","0","11","11","51.2","9.23","2.44","2.26",".289","85.2%","38.4%","20.0%","91.0","4.18","4.54","5.38","4.32","0.0","16933"
"Cody Poteet","MIA","2","3","0","7","7","30.2","9.39","4.70","2.05",".234","76.9%","32.9%","17.5%","93.6","4.99","5.13","5.62","4.95","0.0","18769"
"Paul Blackburn","OAK","1","4","0","9","9","38.1","6.10","2.35","1.88",".341","72.0%","50.0%","20.5%","90.8","5.87","5.44","5.47","4.55","0.0","14739"
"Kris Bubic","KCR","5","6","0","20","20","103.2","7.99","3.82","1.91",".284","77.6%","45.4%","23.4%","91.0","4.77","","5.60","4.44","-0.1","21455"
"Johan Oviedo","STL","0","5","0","13","13","57.2","7.34","5.46","1.25",".291","68.7%","47.5%","14.5%","95.0","5.31","","5.48","5.36","-0.1","22487"
"Alex Wells","BAL","1","3","0","8","8","37.0","5.84","2.92","2.43",".294","67.4%","30.2%","16.7%","88.6","7.05","","6.60","5.95","-0.1","19845"
"Justin Steele","CHC","2","4","0","9","9","43.2","7.83","4.12","2.06",".273","78.8%","45.7%","23.8%","93.0","4.95","","5.99","4.71","-0.2","17312"
"Touki Toussaint","ATL","3","3","0","10","10","49.0","8.82","3.86","2.02",".254","76.9%","46.6%","23.9%","93.2","4.59","","5.78","4.52","-0.2","16929"
"Taylor Widener","ARI","2","1","0","13","13","61.0","9.44","4.72","1.92",".253","82.4%","34.1%","16.5%","92.7","4.28","","5.71","5.22","-0.2","19266"
"Jordan Lyles","TEX","9","13","0","30","30","167.0","7.54","2.86","2.05",".307","75.2%","37.6%","18.9%","93.4","5.39","","5.53","4.69","-0.2","7593"
"Justus Sheffield","SEA","5","8","0","15","15","73.2","7.21","4.28","1.71",".347","65.3%","45.5%","18.2%","93.9","6.48","","5.67","5.04","-0.2","17285"
"Matt Shoemaker","MIN","2","7","0","11","11","50.2","6.04","3.73","1.95",".289","58.6%","45.1%","18.3%","91.8","7.28","","6.01","5.28","-0.2","4776"
"Matt Moore","PHI","1","4","0","13","13","56.1","8.15","5.27","2.08",".301","70.2%","37.6%","18.3%","92.4","6.55","","6.22","5.45","-0.2","1890"
"Kolby Allard","TEX","2","12","0","17","17","91.2","6.58","1.87","2.26",".252","66.0%","37.6%","18.4%","91.8","5.40","","5.69","4.83","-0.2","18694"
"Nick Neidert","MIA","1","2","0","7","7","31.2","5.40","6.54","1.14",".264","74.9%","35.9%","9.5%","91.7","5.12","","6.17","6.87","-0.3","18699"
"Wil Crowe","PIT","4","8","0","25","25","116.0","8.46","4.27","1.94",".309","74.2%","42.8%","18.8%","93.9","5.43","","5.67","4.89","-0.3","19800"
"Chase De Jong","PIT","1","4","0","9","9","43.2","8.04","3.92","2.27",".302","76.5%","30.1%","16.9%","92.9","5.77","6.44","6.03","5.38","-0.3","15036"
"Vince Velasquez","- - -","3","9","0","21","21","89.0","9.00","4.15","2.33",".278","68.5%","31.1%","19.7%","93.3","6.27","","6.05","5.01","-0.3","11189"
"Dean Kremer","BAL","0","7","0","13","13","53.2","7.88","4.19","2.85",".297","66.0%","30.4%","19.5%","92.6","7.55","6.48","6.99","5.73","-0.3","19350"
"Caleb Smith","ARI","1","8","0","13","13","57.0","10.26","6.32","2.21",".261","65.9%","29.2%","17.3%","91.3","6.95","","6.34","5.66","-0.4","14875"
"Griffin Jax","MIN","3","5","0","14","14","69.1","7.01","3.12","2.34",".248","64.1%","32.4%","15.8%","92.8","6.10","","6.24","5.77","-0.5","20253"
"Ryan Weathers","SDP","2","5","0","18","18","69.1","6.49","3.38","2.21",".304","70.4%","43.2%","20.7%","93.8","6.36","","6.17","5.07","-0.5","23796"
"Chase Anderson","PHI","2","4","0","9","9","36.1","6.69","4.21","2.48",".264","68.9%","37.3%","19.2%","91.9","6.94","","6.91","5.86","-0.5","6895"
"JC Mejia","CLE","0","7","0","11","11","42.1","7.65","4.68","2.34",".331","51.9%","47.9%","24.4%","92.9","9.78","","6.62","5.12","-0.5","20617"
"Logan Allen","CLE","1","7","0","11","11","44.1","6.09","3.25","2.44",".287","58.3%","43.2%","22.6%","92.9","7.11","","6.62","5.21","-0.6","18555"
"Kohei Arihara","TEX","2","4","0","10","10","40.2","5.31","2.88","2.43",".270","66.5%","40.7%","21.2%","91.6","6.64","8.02","6.76","5.50","-0.6","27505"
"Jake Arrieta","- - -","5","14","0","24","24","98.2","7.57","4.01","2.19",".343","61.1%","43.4%","23.3%","90.8","7.39","6.16","6.17","4.85","-0.7","4153"
"Mike Foltynewicz","TEX","2","12","0","24","24","130.0","6.30","2.28","2.35",".258","73.0%","36.2%","19.3%","94.2","5.54","","6.14","5.13","-0.8","10811"
